"Date","Symbol","Name","Pricing Date","Price Min","Price Max","IPO type","Has a SPAC converted to its target ticker?","Public offering price (POP)","Insider Lockup Days","Insider Lockup Date","Offering Value","Offering Shares","Outstanding Shares","Total ordinary shares out after the offering","Total market cap at the moment of the offer","For ADRs, the total amount of ordinary shares that the ADRs represent	","Shares Available from Selling Holders","Deal Status","F1/S1/other link information is pulled from","Last year's revenue (in USD)","The year the ""last year's revenue"" refers to","Last year's income (in USD)","The year the ""last year's income"" refers to","Company description, including description of target for SPAC"
"2020-12-30","RSI","Rush Street Interactive, Inc.","--","","","MandA","false","","0","--","","","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-30","DNMR","Danimer Scientific","--","","","MandA","false","","0","--","","","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-30","RMO","Romeo Power, Inc","2020-12-29","","","MandA","false","","0","--","","","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-29","MRM","MEDIROM Healthcare Technologies, Inc.","2020-12-28","14.000","16.000","Depository Receipt","false","15.000","180","2021-06-27","12000000","800000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-24","VTAQ","Ventoux CCM Acquisition Corp","2020-12-23","","","SPAC","false","10.000","180","2021-06-22","150000000","15000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-24","VINC","Vincera Pharma","--","","","MandA","false","","0","--","","","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-24","PRCH","Porch Group, Inc","--","","","MandA","false","","0","--","","","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-23","IKT","Inhibikase Therapeutics, Inc.","2020-12-22","10.000","12.000","Ordinary Shares","false","10.000","180","2021-06-21","18000000","1800000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-23","PHAR","Pharming Group N.V.","2020-12-23","","","Depository Receipt","false","","90","2021-03-23","10888000","899802","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-23","YMTX","Yumanity Therapeutics","2020-12-23","","","MandA","false","","0","--","","","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-23","CFIV","CF Acquisition Corp. IV","2020-12-22","","","SPAC","false","10.000","180","2021-06-21","450000000","45000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-23","VII","7GC & Co. Holdings Inc","2020-12-22","","","SPAC","false","10.000","180","2021-06-21","200000000","20000000","","0","0","0","","Amendment","","0","-","0","-",""
"2020-12-23","VHAQ","VIVEON HEALTH ACQUISITION CORP.","2020-12-23","","","SPAC","false","10.000","180","2021-06-21","175000000","17500000","","0","0","0","","Amendment","","0","-","0","-",""
