Date,Symbol,apturnover,arturnover,assetturnover,croic,commontocap,currentratio,ebitdagrowth,ebitdaqoqgrowth,efftaxrate,fcffgrowth,fcffqoqgrowth,fcfftointerestex,grossmargin,investedcapitalturnover,leverageratio,Itdebttocap,nnep,operatingmargin,profitmargin,roe_simple,stdebttocap,enterprisevalue,country,employees,security_delisted,sic,ipo_price,current_price
2020-12-30,RSI,,16.1314,1.6674,,0.231097,0.7344,-4.970785,,,,,3151.5385,1,-1.0316,-1.2496,,-0.280635,-0.479063,-0.472693,2.130902,0,663437419.9,United States of America,,FALSE,7990,21.13,9
2020-12-24,VTAQ,,,,,-0.043767,7.9669,,,,,,,,,1.0512,,-1.41952,,,0.214396,0.000826,191788580.6,United States of America,4,FALSE,6770,10.29,10.07
2020-12-23,PHAR,,5.4113,0.5199,-0.325334,0.34022,5.522,-0.037194,,0.143971,-0.967302,,,1.153899,0.8098,20.5393,,0.375965,0.770944,0.230894,0.227771,0,9838328205,Netherlands,258,FALSE,2834,19.19,8.79
2020-12-23,VHAQ,,,,,,,,,,,,,,,,,,,,,,,United States of America,2,FALSE,6770,10.15,10.04
2020-12-22,XL,7.1506,3.4712,0.1142,,0.9989,38.0183,-3.426013,,,,,16.8914,0.13492,-0.2795,2.0335,,-0.311163,-0.751991,-2.979939,-0.320843,0.000582,1677155081,United States of America,,FALSE,3714,18.89,2.07
2020-12-18,SVOK,,,,,,,,,,,,,,,,,,,,,,,United States of America,4,TRUE,6770,10.5,11.09
2020-12-18,MASS,,,,,,,,,,,,,,,,,,,,,,597956240.8,United States of America,96,FALSE,3829,45.51,14.46
2020-12-17,SCOA,,,,,,,,,,,,,,,,,,,,,,,United States of America,3,FALSE,6770,10.77,9.75
2020-12-16,CCV,,,,,,,,,,,,,,,,,,,,,,,United States of America,2,FALSE,6770,12.5,9.785
2020-12-15,BLUW,,,,,,,,,,,,,,,,,,,,,,,United States of America,2,FALSE,2836,10.21,
2020-12-15,ATA,,,,,,,,,,,,,,,,,,,,,,,United States of America,2,FALSE,6770,10,10.15
2020-12-11,TVAC,,,,,,,,,,,,,,,,,,,,,,,United States of America,2,FALSE,6770,10.3,10.17
2020-12-11,SNRH,,,,,,,,,,,,,,,,,,,,,,,United States of America,4,FALSE,6770,10.15,9.77
2020-12-11,VVOS,1.5772,11.3512,0.7948,,0.929146,2.607,-0.14521,,,,,-69.6221,0.796925,17.0705,2.1502,,-0.527468,-0.921444,-0.922751,-0.712693,0.047616,90718022.3,United States of America,97,FALSE,3841,7.07,2.81
2020-12-10,DM,3.5377,2.984,0.0395,,0.981003,20.0856,0.737047,0.828552,,,,70.6265,-0.913722,-0.6415,1.2365,,0.083772,-5.589253,-2.06527,-0.06593,0.018997,3619117466,United States of America,,FALSE,3577,19.73,3.8
2020-12-10,HYFM,,,,,,,,,,,,,,,,,,,,,,1322713642,United States of America,212,FALSE,5190,46,19.49
2020-12-09,DASH,27.36,16.5387,0.7139,-0.299678,0.92812,3.9351,0.519939,,,0.89012,,-2.9125,0.525988,9.2797,1.3745,,-0.05924,-0.151074,-0.159737,-0.098085,0.07188,41393948885,United States of America,3279,FALSE,7389,182,109.39
