Date,Symbol,apturnover,arturnover,assetturnover,croic,commontocap,currentratio,ebitdagrowth,fcffgrowth,fcfftointerestex,grossmargin,investedcapitalturnover,leverageratio,nnep,operatingmargin,profitmargin,roe_simple,stdebttocap,enterprisevalue,country,employees,security_delisted,sic,ipo_price,current_price,success
2020-12-30,RSI,,16.1314,1.6674,,0.231097,0.7344,-4.970785,,3151.5385,1.0,-1.0316,-1.2496,-0.280635,-0.479063,-0.472693,2.130902,0.0,663437419.9,United States of America,0.0,FALSE,7990,21.13,9.0,
2020-12-23,PHAR,,5.4113,0.5199,-0.325334,0.34022,5.522,-0.037194,-0.967302,,1.153899,0.8098,20.5393,0.375965,0.770944,0.230894,0.227771,0.0,9838328205,Netherlands,258.0,FALSE,2834,19.19,8.79,
2020-12-22,XL,7.1506,3.4712,0.1142,,0.9989,38.0183,-3.426013,,16.8914,0.13492,-0.2795,2.0335,-0.311163,-0.751991,-2.979939,-0.320843,0.000582,1677155081,United States of America,0.0,FALSE,3714,18.89,2.07,
2020-12-11,VVOS,1.5772,11.3512,0.7948,,0.929146,2.607,-0.14521,,-69.6221,0.796925,17.0705,2.1502,-0.527468,-0.921444,-0.922751,-0.712693,0.047616,90718022.3,United States of America,97.0,FALSE,3841,7.07,2.81,
2020-12-10,DM,3.5377,2.984,0.0395,,0.981003,20.0856,0.737047,,70.6265,-0.913722,-0.6415,1.2365,0.083772,-5.589253,-2.06527,-0.06593,0.018997,3619117466,United States of America,0.0,FALSE,3577,19.73,3.8,
2020-12-09,DASH,27.36,16.5387,0.7139,-0.299678,0.92812,3.9351,0.519939,0.89012,-2.9125,0.525988,9.2797,1.3745,-0.05924,-0.151074,-0.159737,-0.098085,0.07188,41393948885,United States of America,3279.0,FALSE,7389,182.0,109.39,
2020-11-27,QS,,,,,0.995179,81.714,-34.680547,,29.2724,,,2.4592,-2.882674,,,-4.780889,0.0,20297671335,United States of America,4.0,FALSE,3690,24.8,15.31,
2020-10-30,SQZ,,11.1514,0.1095,,1.0,3.9128,-0.299391,,,1.0,-0.4801,2.0641,-0.108177,-2.431565,-2.405991,-0.397181,0.0,637310412.6,United States of America,101.0,FALSE,2836,15.05,7.33,
2020-10-30,AVIR,,,0.1098,,1.0,2.7343,0.245357,37.074424,,1.0,-0.3195,1.5611,-0.007401,-0.226801,-0.225094,-0.019984,0.0,2606632228,United States of America,9.0,FALSE,2834,27.02,6.51,
2020-10-29,LESL,,38.1831,1.5003,0.617866,-0.377268,1.9381,0.32664,3.110782,3.0868,0.443185,6.1682,-1.7139,0.04821,0.155695,0.094298,-0.58207,0.014046,4944060280,United States of America,5081.0,FALSE,5990,20.6,20.68,
